answers,score
 enqueue which adds data to the queue and dequeue which deletes data from the queue,5
" enqueue , which inserts a specified element at the head of the specified queue, and dequeue , which removes the specified element from the queue.",5
 The two main functions are enqueue which inserts an item at the back of the queue and dequeue which removes an item from the front of the queue.,5
 The two main functions are enqueue and dequeue.,5
 Enqueue and Dequeue,5
 Enqueue and Dequeue,5
 enqueue - insert into queuedequeue - remove element,5
" Remove the item added first, add items to the back.",5
 The two main functions of a queue are enqueue and dequeue. ,5
 enqueue and dequeue.,5
 enqueue and dequeue,5
 Enqueue and Dequeue,5
 enqueue and dequeue,5
 enqueue and dequeue,5
" enque ( Data ),  Deque ( )",5
 enqueue and dequeue,5
 enqueue and dequeue,5
" The two functions are, Enqueue and Dequeue",5
" enqueue, dequeue",5
" enqueue, that adds an item to the queuedequeue, that takes the first item out of the queue",5
" Enqueue and dequeue, which add and remove elements from the queue",5
 Enqueue and Dequeue,5
 dequeue and enqueue,5
 enqueue and dequeue,5
 enqueue and dequeue,5
 enqueuedequeue,5
 rear and front ,2.5
