answers,score
" Name of the function, parameters it must receive in order to perform and a return type.",5
 a function signature is the elements that make it unique such as the variables it calls for and also I suppose this includes the program it is in.,4
" A function signature is the return type of a function, its name, and the number and type of its parameters.",5
 function prototype that contains functions and data members.,3
 A function signature is a declaration of the function that includes the parameter types and the number of parameters.,5
 the declaration of the function.,2.5
" Includes the name, accepted parameters, and return type.",5
 its return type and its input parameters,5
 Contains the function name and its paramaters.  The return type is not included,5
" Return type, function name, and the parameter types",5
 The function signature tells what the function parameters and includes all the function calls,4
" The function's name, as well as what it returns and what it accepts.",5
 the body of the function that holds all the actual code,2
 A function signature is the return type and accepted pass value type it takes,3.5
 A function signature specifies the name and input variables of a function.,5
 A function signature is the function's parameters and their type and the name of the function.  The return type is not a part of the function signature.,5
 the name of the function and what it accepts/ returns,5
" the unique identifier of a function, which includes input variables along with the function name, but excludes the output type.",4.5
" The order, number, and type of data items included inside the function parameters.",5
" its the scope, type, and parameters of that function that give it it's properties and defines it against other functions.",5
" is the name of the fuction, return type, and parameters that are being used",5
" a function signature should include the name of the function, parameters, and a body.",4
 the name of the function and the arguments passed to that function,5
" A function signature, used in a function's prototype, is the set of object types it take in as parameters, with or without names given for the objects.",5
 function name and parameter are called function signature.,5
 fuction name and parameters,5
" The parameters needed, the return type, and name of the function.",5
" the signature of a function includes the name of the function, the number and types of parameters, and the return type",5
" It is what uniquely separates overloaded functions. It includes the return type, and the parameter list of the function.",5
" function sig is, is what is the class recognizes as the main function, or rather its specification ",2
