answers,score
" A stack, some printing jobs might have a higher priority than others and they can be easily inserted at the front of the list or anywhere between.",1.5
 a queue otherwise some things would never be printed.,5
 A queue is more appropriate for scheduling printing jobs because queues have first in first out behavior.,5
" Queue, its better to be FIFO than LIFO(stack).",5
 Queue of course!,5
" Queue, the person who wanted to print first should be first served.",5
 queue because it guarantees that job are executed in the order they come in.,5
 queue,5
 Queues would be preferable to stacks for use as scheduling print jobs because it would print jobs in the order that they were sent to the printer.,5
 a queue.,5
 queue,5
 a queue,5
" Queue's are more appropriate, as printers are usually first come, first serve.  ",5
 queue,5
" queue, because of the first in first out principles, and if it was a stack it would be last in last out,  because it could possibly not let the first item that was added get removed in a timely manner.",5
 Queue,5
 a queue,5
 A Queue data structure is more appropriate for scheduling printing jobs at a printer. The first job sent to the printer is the first job printed.,5
 a queue.  It wouldn't be unfair for the first job to finish last.,5
" a queue, because it takes the job that has waited the longest",5
" A queue is more appropriate, because the clients which have waited the longest should be the first served.",5
 Queue,5
 a queue,5
 Queue,5
 i would say that a queue is better because the first thing you try to print should be the first one to come out of the printer  (FIFO),5
" a queue, because you want the jobs to execute in the order that they are received",5
 queue,5
