answers,score
 They can be passed by value or by reference,2.5
" Nonconstant pointer to nonconstant data, nonconstant pointer to constant data, constant pointer to nonconstant data, constant pointer to constant data.",5
 -Nonconstant pointer to nonconstant data     -Nonconstant pointer to constant data      -Constant pointer to nonconstant data       -Constant pointer to constant data,5
" Four different ways: Nonconstant pointer to nonconstant data, a nonconstant pointer to constant data, a constant pointer to nonconstant data and a constant pointer to constant data.",5
 Pass-by-value or pass-by-reference.,2.5
 you can pass a pointer to a pointer or pass a reference to pointer.,2.5
 by address &bPtr or directly bPtr.,2.5
" Nonconstant pointer to nonconstant data, constant pointer to nonconstant data, nonconstant pointer to constant data, constant pointer to constant data.",5
 By argument and reference.,2
" Nonconstant pointer to nonconstant data, nonconstant pointer to constant data, constant pointer to nonconstant data, and constant pointer to constant data.",5
 pass by value and pass by reference with reference or pointer arguments.,2.5
 you can pass them with the pointer (*) or the memory address (&),2.5
 nonconst -&gt; nonconstconst -&gt; nonconstnonconst -&gt; constconst -&gt; const,5
 Nonconstant pointer to nonconstant dataConstant pointer to nonconstant dataNonconstant pointer to constant dataConstant point to constant data,5
" Non-constant pointer to non-constant data, non-constant pointer to constant data, constant pointer to constant data,constant pointer to non-constant data.",5
 Pass by reference with reference arguments.function(int &)Pass by reference with pointer arguments.function(int *),2.5
 you can pass the reference or the dereference in a function,2
 1. nonconstant pointer to nonconstant data. Its delcaration does no include  const qualifier.2. nonconstant pointer to constant data. Provides the performance of pass-by-reference and the protection of pass-by-value3. Constant pointer to nonconstant data. 4. Constant pointer to constant date.,5
" constant pointer to constant data, constant pointer to nonconstant data, nonconstant pointer to constant data, nonconstant pointer to nonconstant data",5
 Nonconstant pointer to nonconstant dataNonconstant pointer to constant dataConstant pointer to nonconstant dataConstant pointer to constant data,5
" Pointers may be passed to functions by value, by reference with reference arguments, or by reference with pointer arguments.",2.5
 There are four way to pass pointer to a function1. non constant pointer to non constant data2.non constant pointer to  constant data.3. constant pointer to non constant data.4. constant pointer to  constant data.,5
 nonconstant pointer to nonconstant datanonconstant pointer to constant dataconstant pointer to nonconstant dataconstant pointer to constant data,5
" pass by value, pass by reference with reference arguments, pass by reference with pointer arguments",2.5
" you can pass it where either the pointer cant be moved, the data pointed to cant be changed, or both or neither",4
" there are only two ways to pass something, by value and by reference. Use of dot or pointer operators within the receiving function and use of '&' operator inside the passing function",2.5
