answers,score
 The compiler creates a default constructor when we do not define one in our class file,5
 during compilation,3.5
 When the class does not explicitly include a constructor.,5
 When no parameters are set is when a default constructor is used.  ,3
 When a class does not explicitly include a constructor.,5
 When there are no arguments passed.,1.5
 when there is not one already for a specific class,5
 When it the programs compiles,3.5
 when a constructor is not provided by the programmer of the class,5
 In any class that does not explicitly include a constructor.,5
 Before the main function of the code.,1
 whenevery you dont specifiy your own,5
 When non are provided,5
 C++ will create a default constructor when no other constructor is present.,5
" When no constructor was specified in the constructor's class, but the class is instantiated in a program.",5
" When no constructor exists when one is needed, a parameterless default constructor is declared.",5
" The Compiler creates this automatically for you, unless you specifically create one.",5
 In any class that doesn't explicitly include a constructor.,5
 when no user-defined constructor exists,5
" If a class does not explicitly include a constructor, the compiler creates one.",5
 When you do not provide your own constructor.,5
 When a class does not explicitly include a constructor.,5
 C++ creates a default constructor during compilation if one is not provided.,5
 when a class does not explicitly include a constructor,5
 The compiler will provide one when class does not explictly include a consructor.,5
 when the programmer does not explicitly include a constructor,5
 When one is not explicitly stated.,5
 when one is not explicitly included by a class,5
 When you dont specify any constructors.,5
" at the very beginning when you run a complier, matter a fact in C++ it generates its own default constructor for the class provided if no other constructors have been provided by user",5
