,answers,score
0," log(log n), 2^(log n), n^2, n^3, n!",5
1," log(log n), n^2, n^3, 2^(log n), n!",4
2, log(logn) 2^(log n) n^2 n^3 n!,5
3," log(log n), 2^(log n), n^2, n^3, n!",5
4," log(log n) , 2^(log n) , n^2 , n^3, n!",5
5," log(log(n)), n^2, n^3, 2^log(n), n!",4.125
6, log(logn)<br>2^(logn)<br>n!<br>n^3<br>n^2,2
7, log(log n); 2^(log n); n!; n^2; n^3;,3.75
8," this goes from largest to smallest: n!, n^3, n^2, 2^(log n), log(log n) ",5
9, log(log n); 2^(log n); n^2; n^3; n!,5
10," 2^(log n), log(log n), n!, n^2, n^3",1.75
11, log(log n); n!; n^2;n^3;n^(log n),2.25
12," From least to greatest:  log(log n), 2^(log n), n^2, n^3, n!",5
13," log(log n)<br>2^(log n), is just n<br>n^2<br>n^3<br>n!",5
14, 2^(log n)<br>log(log n)<br>n^2<br>n^3<br>n!,4
15, from lowest to longest.<br>log(log n); 2^(log n); n!;  n^2;  n^3;,3.625
16, log(log(n))<br>2^log(n)<br>n^2<br>n^3<br>n!,5
17," log(log n), 2^(log n), n^2, n^3, n!",5
18," 2^(log n), n^3, n^2,  log(log n), n! ",2
19," linear, logarithmic, exponential, linear, linear",1.5
20," quickest at top, slowest at bottom<br>log(log n)<br>n^2<br>n^3<br>2^(log n)<br>n!",4
21, longest to shortest:<br>n^3; n!; n^2; 2^(log n); log(log n),3
22, 2^(log n)<br>n^2<br>^3<br>log(long n)<br>n!,3.25
23, from lowest to highest<br>1- long(long n)<br>2- 2^log(n)<br>3- n^2<br>4- N^3<br>5- n!,5
24, log(log n); n^2; n^3; n!; 2^(log n) ,4.125
25, n^2; n!; n^3; 2^(log n); log(log n),2.25
26," worst to best: n!, n^3, n^2, 2^(log n), log(log n)",5
27," log(long n),  2^(log n); n^2, n^3;",4.75
