,answers,score
0, compilation error,1
1, compilation error.,1
2, Using an index outside the bounds of the array generates a run-time error.,5
3, run-time error,5
4, Its a run-time error.,5
5, run time error,5
6, Run-time error.,5
7, run-time error,5
8, compilation error,1
9," This is a run-time error. The program will compile AND execute, so these errors can be difficult to debug.",5
10, this is a run-time error or execution-time error.,5
11, Run-time.,5
12, run time,5
13, Generates a compilation error. The compiler will complain that the variable you are referring to was never declared.,1
14, run-time,5
15, Run-time error.,5
16, run time error,5
17, runtime error.,5
18, Compilation error.,1
19, run-time error,5
20, run-time error,5
21, run-time error,5
22, compilation error.,1
23, run-time error,5
24, not answered,0
25, run-time error,5
26, compilation error,1
27, compilation error,1
28," It will NOT cause a compilation error. It will either give a run-time error, or will give the value at that actual location in memory, causing a logic error.",5
29, it is a run-time error ,5
