,answers,score
0, A pointer that points to the memory address of the beginning part of a functions.  pretty much the pointer points to the function so it can be called to execute.,5
1, A function pointer is a pointer that contains the address of the  function in memory.,5
2," Function Pointers are pointers, i.e. variables, which point to the address of a function.",5
3," A pointer to a function is the address where the code for the function resides. They can be passed to functions, returned from functions, stored in arrays and assigned to other pointers.",5
4, It contains the address of the function in memory.,5
5, when it is dereferenced a function pointer calls its function with zero or more arguments.,3.5
6, a pointer to a function,3.5
7," A pointer to a function itself, contains the address of the function and can be used to call that function",5
8," Function Pointers are pointers, i.e. variables, which point to the address of a function.",5
9, A pointer to a function that contains the addresses of the function.,5
10, a pointer that contains the address of a function,5
11, a function pointer is a pointer to a function. It can be used in substitution for calling a function.,5
12, Points to the memory address of a function.  Kind of like breaking a branch off of a tree object and hitting other objects with it.,5
13," They are pointers that contain the addresses to functions, they can be passed and returned from functions, as well as stored in arrays and assigned to other function pointers.",5
14, Pointer variables that point to function addresses.,5
15, Contains the address of the function in memory.,5
16," a pointer that points to a function itself, which allows passing a function as a parameter to another function.",4
17, pointers that contain the addresses of functions.,5
18, is a pointer that contains the address of a function,5
19, a pointer that contains the address of the function definition,4.5
20," A function pointer contains the memory address of a function. Using a function pointer, a function can be passed to or returned by another function. Function pointers can also be stored in arrays.",5
21, Function pointer is a pointer to a function. function pointer contains address of functions,5
22, a pointer that contains the address of a function in memory.,5
23, it contains the address of the function in memory,5
24, it is a pointer that points to the address of a function. ,5
25," When dereferenced, a function pointer invokes a function, passing it zero or more arguments just like a normal function. In programming languages like C, function pointers can be used to simplify code, such as replacing large switch statements.",4
