,answers,score
0," Takes an element of an array and compares it with the next element, depending on the values of the two elements they will switch and then the program will compare the new switched element with the next one in the array.",3
1," Insertion sort divides the list into sorted and unsorted regions, then takes each item from the unsorted region and inserts it into its correct order in the sorted region.",5
2, The sorted array or list is built one entry at a time.,3.5
3, It starts with the second element and checks it to see if it is less than the element(s) to the left of it and if it is it inserts it into its corrected position.,5
4, Compare two numbers at a time and swap until the entire list is sorted.,2
5," Assume the first number is sorted, then move down the list and 'insert' the numbers you come across into the corresponding place on the sorted side of the list.",5
6, insertion sort is were after k iterations the first k items in the array are sorted it take the k+1 item and inserts it into the correct position in the already sorted k elements.,4.5
7, Looking at the 2nd element move forward and place the element in the correct spot.,4.5
8," Starting at the beginning of an array, take each element in order and place it in it's correct position relative to all previously sorted elements. ",5
9, To sort the elements in an array by removing an element from the input data and inserting it at the correct position. ,5
10," Insertion sort removes an element from the data, and inserts it at the correct position in the already sorted list.",5
11, Take a number and choose a pivot point and insert the number in the correct position from the pivot point.,3
12, have a marker and sort everything to the left of the value for every new value when moving to the right.,3
13, The main idea behind insertion sort is to take a random variable from the right and insert it in order to the left.,4.5
14, Insertion sort progresses through a list of elements and determines where the next element should be inserted into an already sorted array starting with sorting and using the first two elements.,4.5
15," it goes through the list only once, picking each integer and putting it in its desired position, then continuing. ",4
16, Inserting array items in to their appropriate positions from smallest to largest at a pivot which starts on the second element of the array.,3.5
17, Insert the item into its proper position by shifting larger sorted array values to the right.<br>,3
18, a comparison sort in which the sorted array is built one entry at a time,4
19," Insertion sort is an algorithm where the first element of the array is in the sorted list, all the other pick one by one and taken from the unsorted array, to the sorted array.",4.5
20," Every iteration of an insertion sort takes away an element from the input data, inserting it at the right position in the sorted list.",5
21, the insertion sort creates a new array and inserts each item in its place with respect to the new array.,4
22," Insertion sort takes each entitity of an unsorted array in order, and sorts it into the correct position between the entities it has sorted.",5
23," it takes the second element and swaps it with the 1st if it is less and keeps it there if its larger, then it goes to the third element and inserts it in the right places with respect to the first 2 elements and so on... ",5
24," Starting with the first element in the array, each following element is put in place by determining if it is smaller or larger than the starting element.",4
25," one by one, each item is taken and placed into the correct place in the sorted portion of the array until there are no more items",4.5
26, you take each element and insert it in the correct position with respect to all the elements before it,5
27," Insertion sort is a simple sorting algorithm, a comparison sort in which the sorted array (or list) is built one entry at a time.",4
