,answers,score
0, They can be passed by value or by reference,2.5
1," Nonconstant pointer to nonconstant data, nonconstant pointer to constant data, constant pointer to nonconstant data, constant pointer to constant data.",5
2, -Nonconstant pointer to nonconstant data<br><br>     -Nonconstant pointer to constant data<br> <br>     -Constant pointer to nonconstant data<br>  <br>     -Constant pointer to constant data,5
3," Four different ways: Nonconstant pointer to nonconstant data, a nonconstant pointer to constant data, a constant pointer to nonconstant data and a constant pointer to constant data.",5
4, Pass-by-value or pass-by-reference.,2.5
5, you can pass a pointer to a pointer or pass a reference to pointer.,2.5
6, by address &bPtr or directly bPtr.,2.5
7," Nonconstant pointer to nonconstant data, constant pointer to nonconstant data, nonconstant pointer to constant data, constant pointer to constant data.<br>",5
8, By argument and reference.,2
9," Nonconstant pointer to nonconstant data, nonconstant pointer to constant data, constant pointer to nonconstant data, and constant pointer to constant data.",5
10, pass by value and pass by reference with reference or pointer arguments.,2.5
11, you can pass them with the pointer (*) or the memory address (&),2.5
12, nonconst -&gt; nonconst<br>const -&gt; nonconst<br>nonconst -&gt; const<br>const -&gt; const,5
13, Nonconstant pointer to nonconstant data<br>Constant pointer to nonconstant data<br>Nonconstant pointer to constant data<br>Constant point to constant data,5
14," Non-constant pointer to non-constant data, non-constant pointer to constant data, constant pointer to constant data,<br>constant pointer to non-constant data.",5
15, Pass by reference with reference arguments.<br>function(int &)<br><br>Pass by reference with pointer arguments.<br>function(int *),2.5
16, you can pass the reference or the dereference in a function,2
17, 1. nonconstant pointer to nonconstant data. Its delcaration does no include  const qualifier.<br>2. nonconstant pointer to constant data. Provides the performance of pass-by-reference and the protection of pass-by-value<br>3. Constant pointer to nonconstant data. <br>4. Constant pointer to constant date.,5
18," constant pointer to constant data, constant pointer to nonconstant data, nonconstant pointer to constant data, nonconstant pointer to nonconstant data",5
19, Nonconstant pointer to nonconstant data<br>Nonconstant pointer to constant data<br>Constant pointer to nonconstant data<br>Constant pointer to constant data,5
20," Pointers may be passed to functions by value, by reference with reference arguments, or by reference with pointer arguments.",2.5
21, There are four way to pass pointer to a function<br>1. non constant pointer to non constant data<br>2.non constant pointer to  constant data.<br>3. constant pointer to non constant data.<br>4. constant pointer to  constant data.,5
22, nonconstant pointer to nonconstant data<br>nonconstant pointer to constant data<br>constant pointer to nonconstant data<br>constant pointer to constant data,5
23," pass by value, pass by reference with reference arguments, pass by reference with pointer arguments",2.5
24," you can pass it where either the pointer cant be moved, the data pointed to cant be changed, or both or neither",4
25," there are only two ways to pass something, by value and by reference. Use of dot or pointer operators within the receiving function and use of '&' operator inside the passing function",2.5
